s11a,s11m,s21a,s21m,s31a,s31m,s12a,s12m,s22a,s22m,s32a,s32m,s13a,s13m,s23a,s23m,s33a,s33m,wavelengths,freqs
-1.3563805947264742,0.06625721214226675,-1.8466761766520416,0.6108971942930804,-1.8466761767113278,0.6108971943193813,-1.8463082359351537,0.6102928982239155,-1.5992043408829106,0.13710293861120434,-2.52493546507906,0.10080948432467197,-1.846308236511836,0.6102928983711313,-2.524935466052599,0.10080948428919058,-1.5992043404937961,0.1371029386640683,1.5,0.6666666666666666
-1.522708963792812,0.06828221323485086,-2.1543248581998498,0.6108299893705595,-2.1543248582590087,0.6108299893959809,-2.1536219711167104,0.6092774208844927,-2.117574318029858,0.14082124228580015,-3.0945301764111037,0.10047207059069181,-2.1536219716944687,0.6092774210248755,-3.0945301773719494,0.10047207055393055,-2.117574317682884,0.1408212423439083,1.5020408163265306,0.6657608695652174
-1.683226086193113,0.06922813199774511,-2.46092822091774,0.6108103787812176,-2.4609282209768364,0.6108103788058776,-2.4591207572019447,0.6085684950766945,-2.620527302755428,0.1415122921291577,-3.661325810478291,0.1001287419143675,-2.4591207577777228,0.6085684952095013,-3.661325811424922,0.10012874187626217,-2.6205273024394935,0.14151229219215417,1.5040816326530613,0.6648575305291723
-1.8328530880840344,0.06919968709488349,-2.7665070168431583,0.6108676912532042,-2.7665070169025037,0.6108676912772099,-2.763160120315142,0.608383362258239,-3.1188350829242495,0.13858097616963727,-4.225369546319034,0.0998269730569513,-2.7631601208857814,0.6083833623838144,-4.225369547249557,0.09982697301750848,-3.1188350826284355,0.13858097623640653,1.506122448979592,0.6639566395663956
-1.9675331046013467,0.06846715751044755,-3.0710985326557205,0.6110260165081887,-3.0710985327154368,0.611026016531599,-3.0662132699923177,0.6088036928803999,-3.6243514780283306,0.13216865423517196,-4.78686964074698,0.09959644747153434,-3.066213270555438,0.6088036929999787,-4.786869641660026,0.09959644743075931,-3.624351477739988,0.13216865430411956,1.5081632653061225,0.6630581867388362
-2.084920420186491,0.06743478398284038,-3.3747507935989374,0.6113003608478172,-3.374750793659245,0.6113003608706598,-3.368742452587091,0.6097626048355982,-4.150039226611311,0.12316725264318704,-5.346123870166958,0.09944611549238058,-3.368742453141654,0.6097626049508484,-5.346123871061617,0.09944611545028618,-4.150039226315604,0.12316725271236856,1.510204081632653,0.6621621621621622
-2.1854511349809,0.06657190995777704,-3.67751454084533,0.6116951576438981,-3.6775145409064507,0.6116951576661621,-3.671079004226456,0.6110705947840518,-4.709057759248313,0.11322555490363846,-5.903439381386824,0.09936634556062564,-3.6710790047728628,0.6110705948965621,-5.903439382262742,0.09936634551719677,-4.709057758927677,0.11322555497091046,1.5122448979591836,0.6612685560053981
-2.273218701546705,0.0663008891462085,-3.9794353820354282,0.6122054025882578,-3.9794353820975794,0.6122054026098949,-3.973343234726143,0.6124727165964015,-5.310174432376746,0.10463278464704263,-6.45906444644915,0.0993352660053508,-3.9733432352659053,0.6124727167072426,-6.459064447306263,0.0993352659605357,-5.310174432016193,0.10463278471032147,1.5142857142857142,0.6603773584905661
-2.3555857293180584,0.06686529784638537,-4.2805483038720205,0.6128198869877883,-4.280548303935393,0.6128198870087135,-4.2754244461779605,0.6137224492439156,-5.947748690069932,0.09977750853283901,-7.01314911720518,0.09932757542665956,-4.275424446713066,0.6137224493533958,-7.0131491180433745,0.09932757538037584,-5.947748689671551,0.09977750859073735,1.5163265306122449,0.6594885598923285
-2.440985623423182,0.06823844577314489,-4.580875877934459,0.6135254190233423,-4.5808758779992065,0.6135254190434403,-4.577026080254954,0.6146526993473006,-6.5952691102778065,0.10000025389022305,-7.565744043661519,0.09932345240405233,-4.577026080787153,0.6146526994549771,-7.565744044480304,0.09932345235621237,-6.595269109870124,0.10000025394302967,1.5183673469387755,0.6586021505376344
-2.5360135380994118,0.07012787356644665,-4.8804302887843605,0.6143107063141421,-4.88043028885059,0.6143107063332707,-4.877763520356478,0.6152234308808157,-7.219531892872185,0.10464500418098278,-8.116835032213565,0.0993149793545064,-4.877763520886716,0.6152234309857463,-8.116835033011878,0.09931497930505273,-7.219531892491882,0.10464500423088385,1.5204081632653061,0.6577181208053691
-2.6436874494703155,0.07207103307582521,-5.179218148750349,0.6151687660347191,-5.179218148818077,0.6151687660527134,-5.17728653142585,0.6155309577832608,-7.803536227543711,0.11150144983585558,-8.666398398670534,0.09930807511471225,-5.177286531954006,0.6155309578843867,-8.666398399446852,0.09930807506364814,-7.803536227210577,0.11150144988576297,1.5224489795918368,0.6568364611260054
-2.7635122884431946,0.07356373615067359,-5.477246286380615,0.6160972536002475,-5.4772462864498035,0.616097253616931,-5.475390147504555,0.6157756757070236,-8.349882651979605,0.11810120917795047,-9.214454240081196,0.09931934212098593,-5.475390148029537,0.6157756758035596,-9.214454240833696,0.09931934206839879,-8.349882651694234,0.11810120923019923,1.5244897959183674,0.6559571619812583
